Date,USD,JPY,BGN,CYP,CZK,DKK,EEK,GBP,HUF,LTL,LVL,MTL,PLN,ROL,RON,SEK,SIT,SKK,CHF,ISK,NOK,HRK,RUB,TRL,TRY,AUD,BRL,CAD,CNY,HKD,IDR,ILS,INR,KRW,MXN,MYR,NZD,PHP,SGD,THB,ZAR,
2018-11-01,1.1393,128.52,1.9558,N/A,25.879,7.4604,N/A,0.88173,322.96,N/A,N/A,N/A,4.3269,N/A,4.664,10.3158,N/A,N/A,1.143,137.9,9.515,7.436,74.8346,N/A,6.3245,1.5857,4.2078,1.4904,7.9046,8.9293,17192.3,4.2245,83.68,1285.7,22.9917,4.7674,1.719,60.642,1.5701,37.529,16.6021,
2018-10-31,1.1318,128.15,1.9558,N/A,25.922,7.4614,N/A,0.88873,325.1,N/A,N/A,N/A,4.3392,N/A,4.6643,10.4015,N/A,N/A,1.1399,137.7,9.5528,7.4325,74.4074,N/A,6.2255,1.5972,4.1943,1.4856,7.8935,8.8787,17206.19,4.2119,83.7305,1291.1,22.9029,4.736,1.7322,60.471,1.5696,37.535,16.7942,
